,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-11-02,-0.09562669785978825,-0.09584564252463862,-0.09758303201946042,0.01950702975830945,0.11596111547365619,0.06590367078760552
2018-11-03,-0.09562669785978839,-0.09584564252463874,-0.0975830320194606,0.019507029758309518,0.11596111547365714,0.0659036707876056
2018-11-04,-0.09562669785978842,-0.09584564252463876,-0.0975830320194606,0.01950702975830957,0.11596111547365787,0.06590367078760581
2018-11-05,-0.09562669785978845,-0.09584564252463879,-0.09758303201946061,0.019507029758309768,0.11596111547365846,0.06590367078760594
2018-11-06,-0.09562669785978856,-0.0958456425246389,-0.09758303201946075,0.019507029758309816,0.11596111547365906,0.06590367078760594
2018-11-07,-0.09562669785978858,-0.09584564252463888,-0.09758303201946077,0.019507029758309834,0.11596111547365949,0.06590367078760606
2018-11-08,-0.0956266978597886,-0.09584564252463888,-0.0975830320194608,0.019507029758309917,0.11596111547365981,0.06590367078760617
2018-11-09,-0.09562669785978871,-0.09584564252463901,-0.09758303201946093,0.019507029758309938,0.11596111547366018,0.06590367078760619
2018-11-10,-0.0956266978597887,-0.09584564252463904,-0.09758303201946092,0.019507029758309972,0.11596111547366042,0.06590367078760628
2018-11-11,-0.09562669785978871,-0.09584564252463901,-0.09758303201946089,0.019507029758310066,0.11596111547366059,0.06590367078760634
2018-11-12,-0.09562669785978876,-0.09584564252463904,-0.09758303201946093,0.01950702975831011,0.11596111547366077,0.06590367078760628
2018-11-13,-0.09562669785978882,-0.0958456425246391,-0.097583032019461,0.019507029758310104,0.11596111547366098,0.06590367078760626
2018-11-14,-0.09562669785978878,-0.09584564252463905,-0.09758303201946092,0.019507029758310045,0.11596111547366109,0.06590367078760634
2018-11-15,-0.09562669785978868,-0.09584564252463895,-0.09758303201946085,0.019507029758310097,0.11596111547366118,0.0659036707876064
2018-11-16,-0.09562669785978879,-0.09584564252463908,-0.09758303201946095,0.01950702975831003,0.11596111547366132,0.06590367078760635
2018-11-17,-0.09562669785978861,-0.0958456425246389,-0.09758303201946078,0.01950702975831008,0.11596111547366132,0.06590367078760645
2018-11-18,-0.09562669785978872,-0.095845642524639,-0.09758303201946092,0.019507029758310077,0.1159611154736614,0.0659036707876064
2018-11-19,-0.09562669785978872,-0.09584564252463902,-0.0975830320194609,0.019507029758310084,0.11596111547366145,0.06590367078760645
2018-11-20,-0.09562669785978864,-0.09584564252463895,-0.09758303201946086,0.01950702975831015,0.11596111547366145,0.06590367078760646
2018-11-21,-0.09562669785978882,-0.09584564252463909,-0.09758303201946102,0.019507029758310104,0.11596111547366152,0.06590367078760644
2018-11-22,-0.09562669785978876,-0.09584564252463904,-0.09758303201946093,0.01950702975831018,0.11596111547366149,0.0659036707876065
2018-11-23,-0.09562669785978886,-0.0958456425246391,-0.097583032019461,0.019507029758310198,0.11596111547366157,0.06590367078760637
2018-11-24,-0.09562669785978878,-0.09584564252463905,-0.09758303201946095,0.019507029758310167,0.11596111547366159,0.06590367078760637
2018-11-25,-0.09562669785978874,-0.09584564252463904,-0.09758303201946096,0.01950702975831009,0.11596111547366166,0.06590367078760641
2018-11-26,-0.09562669785978872,-0.09584564252463904,-0.09758303201946095,0.019507029758310087,0.11596111547366163,0.06590367078760656
2018-11-27,-0.09562669785978871,-0.09584564252463904,-0.09758303201946092,0.01950702975831019,0.1159611154736616,0.06590367078760655
2018-11-28,-0.09562669785978882,-0.09584564252463909,-0.097583032019461,0.019507029758310215,0.11596111547366163,0.06590367078760648
2018-11-29,-0.09562669785978885,-0.09584564252463912,-0.097583032019461,0.0195070297583102,0.11596111547366164,0.0659036707876064
2018-11-30,-0.09562669785978882,-0.09584564252463909,-0.09758303201946099,0.01950702975831017,0.11596111547366171,0.06590367078760637
2018-12-01,-0.09562669785978879,-0.09584564252463908,-0.09758303201946097,0.019507029758310136,0.11596111547366172,0.06590367078760642
2018-12-02,-0.09562669785978876,-0.09584564252463901,-0.09758303201946095,0.01950702975831012,0.11596111547366171,0.0659036707876065
